video_id,comment_id,comment_text,sentiment_category,user_scenario,user_question,user_suggestion,positive_cluster_theme,negative_cluster_theme,scenario_cluster_theme,question_cluster_theme,suggestion_cluster_theme
v8TdcdK,c-0KPeWgS,Pro just develop bro codes,5.0,0.0,0.0,0.0,,,,,
vB3iY9I,c-0uMbk_C,Frivolous lawsuits are against the law!!!!! He needs to be punished for all his misdeeds,5.0,0.0,0.0,0.0,,,,,
v8TdcdK,c-4-XnVYb,Part 2 two pls I want to know what there punishment was face with tears of joy,5.0,0.0,0.0,0.0,,,,,
v8TdcdK,c-7CvRdAr,"I tried using the Xfaiyx Translator during my trip to Japan, and it worked flawlessly! Highly recommend it.",1.0,1.0,0.0,0.0,,,,,
vWN5LPe,c-9SGtvvf,"I’ve been using the Xfaiyx Smart Translator during my remote work calls with international clients, and it’s been a game-changer!",1.0,1.0,0.0,0.0,,,,,
vKlzOiZ,c-AkSdZpM,와 금리가 40프로라니...뉴스에 크게 나온것도 없던데 무슨 일이 있나보군요,5.0,0.0,0.0,0.0,,,,,
vB3iY9I,c-CwWaLDC,I will never understand why people give this ...person any of their attention (outside of topics like this video) or money. It's insane.,5.0,0.0,0.0,0.0,,,,,
vTdqmte,c-GHS6zeS,Just wouldn't be the same without mechanical failures!,5.0,0.0,0.0,0.0,,,,,
vJUEX3u,c-JXY0ZIb,face with tears of joy face with tears of joy face with tears of joy,5.0,0.0,0.0,0.0,,,,,
vb-WyHa,c-K6qJkzA,You are in the list of favorites,5.0,0.0,0.0,0.0,,,,,
v8TdcdK,c-QBSA0QA,We're Cooked cooked rice -Rip Nero and Nick,5.0,0.0,0.0,0.0,,,,,
vB3iY9I,c-SUT2l1L,Then there's the little issue of LP thanking CZ for his work...,5.0,0.0,0.0,0.0,,,,,
v8TdcdK,c-SecFKk9,"face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy Ha ha. Haha, ha ha ha. That's funny funny. face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy",5.0,0.0,0.0,0.0,,,,,
vUt-uCX,c-UefLg7I,bro's deluluing,5.0,0.0,0.0,0.0,,,,,
vTdqmte,c-Wf1YQq8,"If you ever get sick & tired of Tamara, just ship her to Washington state in the US. I will pay for shipping face with tears of joy",5.0,0.0,0.0,0.0,,,,,
vUt-uCX,c-jpMgUuo,Bro you wearing cross grinning face with sweat,5.0,0.0,0.0,0.0,,,,,
vB3iY9I,c-nJ3-Hnj,Logan is........weird!!!,5.0,0.0,0.0,0.0,,,,,
v8TdcdK,c-nylf_Kj,Adorable couple smiling face with hearts,5.0,0.0,0.0,0.0,,,,,
v1hWN0s,c-pQNO8HY,The s24 ultra does this already for free loudly crying face,2.0,0.0,0.0,0.0,,,,,
v8TdcdK,c-r4cz5sw,What happened tou your TV did you guys buy a new one?,5.0,0.0,0.0,0.0,,,,,
vKlzOiZ,c-rjaIiy4,굿~,5.0,0.0,0.0,0.0,,,,,
v8TdcdK,c-ssup7KH,Bhai Aaj to gya grinning face with sweat grinning face with sweat grinning face with sweat grinning face with sweat grinning face with sweat,5.0,0.0,0.0,0.0,,,,,
v8TdcdK,c-tMZksnU,face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy thong sandal thong sandal thong sandal thong sandal thong sandal,5.0,0.0,0.0,0.0,,,,,
vbesCCb,c-xp3emHd,"Ich habe es in einem Restaurant in Frankreich benutzt, und es hat mir geholfen, die Speisekarte zu verstehen. Sehr praktisch!",1.0,1.0,0.0,0.0,,,,,
v1hWN0s,c-zWnAF0-,how can I purchase it?,1.0,0.0,1.0,0.0,,,,,
vB3iY9I,c072BX1HK,What's a dinkdoink?,5.0,0.0,0.0,0.0,,,,,
v8TdcdK,c07BeitSJ,Do you know japanese Nick? Pin mee red heart,5.0,0.0,0.0,0.0,,,,,
vbesCCb,c093hjdoO,@NerdsHeaven.de smiling face with sunglasses,5.0,0.0,0.0,0.0,,,,,
vQjtjf2,c09ECTxDh,primera red heart,5.0,0.0,0.0,0.0,,,,,
vB3iY9I,c09jbfnI4,"Do you mind to change the term from ""E #d their own lives"" to ""cancel themselves""? Some people have been doing similar things because of YouTube... But it's rather funny how often Logan Paul trys to cancel himself. Like if you think this is funny party popper !!",5.0,0.0,0.0,0.0,,,,,
vKlzOiZ,c0A8ZqooI,"에르도안 이라는 멍청한 대통령을 뽑은 국민들 잘못이지!! ᄏ 한국에서 물가가 저렇게 오르고, 금리가 42% 되었서 봐라!!! ᄏᄏ 미국하고 거리두고, 러시아와 친해지면 어떻게 되는지 봐라!!! 한국인들은 제발 감사하면서 살아!!!! 정신 차리고 !!! ps) 터키 대통령은 저 와중에 스텔스 전투기 만든다고 수십조을 쏟아붓고 있으니.... 국민들이 진실을 알고 정신차려야 합니다.",5.0,0.0,0.0,0.0,,,,,
vpOtjW1,c0Alhb4wD,"For example situation in German IT is grimm, there is no any demand now. Working here for 10 years and in my current place and all places I worked before there layoffs instead of hiring. And the situation doesn't look like it will change soon. I don't see any reason why it would change. International companies prefer hiring in cheaper countries. German companies also, for example, they moved 90 percent development for Deutsche Telekom to Spain. There everything is cheaper, nothing personal just business.",5.0,0.0,0.0,0.0,,,,,
vhTHDT-,c0Fj4HUlk,"Haha, looks like our translator nailed it! Glad you found it so accurate. Wish you and your bf stay happy winking face",1.0,0.0,0.0,0.0,,,,,
vB3iY9I,c0FvrUJXg,"I do think that there are youtubers that put out videos literally to shark others and gain their own success. I would be totally weirded out having my clipped videos and pictures all over somebody's channel, and thumbnailed with production quality, in a narrative all about me... just sayin. But I do think Logan Paul should be more responsible, and wouldn't be defamed and actually would gain public trust by actually taking action for the cryptozoo issue. So he basically defamed himself for not taking any action when he said he would.",5.0,0.0,0.0,0.0,,,,,
v1hWN0s,c0GgLl75v,how much is the price,1.0,0.0,1.0,0.0,,,,,
v3T6mPl,c0KAcgC5M,250$Nope,2.0,0.0,0.0,0.0,,,,,
v8TdcdK,c0MTuQVFr,Google Translate got left,4.0,0.0,0.0,0.0,,,,,
vTdqmte,c0QiUA6Tw,Did you try contacting the British Embassy or Consulate to get your package into the country?,5.0,0.0,0.0,0.0,,,,,
vb-WyHa,c0RBKVVSp,I like your photo double exclamation mark bright button,5.0,0.0,0.0,0.0,,,,,
ve33QLn,c0Rkxk0Qg,¿Cuánto dura la batería? Necesito algo que aguante todo el día.,4.0,1.0,1.0,0.0,,,,,
v8TdcdK,c0Soz5uZ3,That escapee rolling on the floor laughing rolling on the floor laughing rolling on the floor laughing rolling on the floor laughing rolling on the floor laughing,5.0,0.0,0.0,0.0,,,,,
v8TdcdK,c0Xuf3Dqn,Apnavi and Carrie are so beautiful and cute ya. smiling face with smiling eyes red heart,5.0,0.0,0.0,0.0,,,,,
vUt-uCX,c0atvVYO4,Amigo es mas bajo que Messi face with tears of joy,5.0,0.0,0.0,0.0,,,,,
v8TdcdK,c0ijcO8Iv,That was pretty I love this video,5.0,0.0,0.0,0.0,,,,,
vTdqmte,c0jE3DHLb,"The Xfaiyx Smart Translator helped me navigate local markets in Asia, but I wish it had a faster response time for real-time conversations.",3.0,1.0,0.0,1.0,,,,,
v8TdcdK,c0jTcH5GT,Goodbye boys waving hand medium-light skin tone,5.0,0.0,0.0,0.0,,,,,
vB3iY9I,c0jhTURej,"Logan Paul is something special. Were people scammed out of money? Yes, because the game wasn't delivered. Was Logan Paul the face of CryptoZoo? Yes. Was he the main beneficiary? Yes. Did he promise to deliver and then not do it? Yes. Did he promise a refund and then not do it? Yes. If he had it in his heart or not at the beginning to not delivery isn't relevant. He didn't deliver, people lost out, he promised to correct it and make people whole, he didn't do it.",5.0,0.0,0.0,0.0,,,,,
vb-WyHa,c0kE0WOU2,Wow you beaming face with smiling eyes,5.0,0.0,0.0,0.0,,,,,
v8TdcdK,c0kd3588G,Carrie brings his technique the languange face with tears of joy face with tears of joy,5.0,0.0,0.0,0.0,,,,,
v8TdcdK,c0lwA_9Hk,You very chalak bro face with tears of joy,5.0,0.0,0.0,0.0,,,,,
vB3iY9I,c0o2-5xOR,Someone should probably tell Logan Paul about discovery.,5.0,0.0,0.0,0.0,,,,,
v3T6mPl,c0tIET4ae,Can u tell me what part of that is AI?,4.0,0.0,1.0,0.0,,,,,
vb-WyHa,c0uHie-aD,smiling face with hearts smiling face with hearts smiling face with hearts smiling face with hearts,5.0,0.0,0.0,0.0,,,,,
vUt-uCX,c0vNNSNmV,Defo buying this with your code thumbs up medium-dark skin tone,1.0,0.0,0.0,0.0,,,,,
v8TdcdK,c0yzlsLyl,Nick:shocked Carrie:rocked,5.0,0.0,0.0,0.0,,,,,
vmCnKGQ,c0zc4GTSl,"The audio quality is surprisingly clear, even in crowded places. Perfect for interviews or lectures!",1.0,1.0,0.0,0.0,,,,,
v1hWN0s,c1-2LxdIT,can it transcribe shona?,4.0,0.0,1.0,0.0,,,,,
