video_id,comment_id,sentiment_category,user_scenario,user_question,user_suggestion,positive_cluster_theme,negative_cluster_theme,scenario_cluster_theme,question_cluster_theme,suggestion_cluster_theme
v8TdcdK,c-0KPeWgS,5.0,0.0,0.0,0.0,,,,,
vB3iY9I,c-0uMbk_C,5.0,0.0,0.0,0.0,,,,,
v8TdcdK,c-4-XnVYb,5.0,0.0,0.0,0.0,,,,,
v8TdcdK,c-7CvRdAr,1.0,1.0,0.0,0.0,xfaiyx smart translator recorder great perfect compact amazing love design,,xfaiyx translator smart super trip offline support helpful conversations travel,,
vWN5LPe,c-9SGtvvf,1.0,1.0,0.0,0.0,xfaiyx smart translator recorder great perfect compact amazing love design,,xfaiyx translator smart super trip offline support helpful conversations travel,,
vKlzOiZ,c-AkSdZpM,5.0,0.0,0.0,0.0,,,,,
vB3iY9I,c-CwWaLDC,5.0,0.0,0.0,0.0,,,,,
vTdqmte,c-GHS6zeS,5.0,0.0,0.0,0.0,,,,,
vJUEX3u,c-JXY0ZIb,5.0,0.0,0.0,0.0,,,,,
vb-WyHa,c-K6qJkzA,5.0,0.0,0.0,0.0,,,,,
v8TdcdK,c-QBSA0QA,5.0,0.0,0.0,0.0,,,,,
vB3iY9I,c-SUT2l1L,5.0,0.0,0.0,0.0,,,,,
v8TdcdK,c-SecFKk9,5.0,0.0,0.0,0.0,,,,,
vUt-uCX,c-UefLg7I,5.0,0.0,0.0,0.0,,,,,
vTdqmte,c-Wf1YQq8,5.0,0.0,0.0,0.0,,,,,
vUt-uCX,c-jpMgUuo,5.0,0.0,0.0,0.0,,,,,
vB3iY9I,c-nJ3-Hnj,5.0,0.0,0.0,0.0,,,,,
v8TdcdK,c-nylf_Kj,5.0,0.0,0.0,0.0,,,,,
v1hWN0s,c-pQNO8HY,2.0,0.0,0.0,0.0,,phone app battery device life buy longer design nt apps,,,
v8TdcdK,c-r4cz5sw,5.0,0.0,0.0,0.0,,,,,
vKlzOiZ,c-rjaIiy4,5.0,0.0,0.0,0.0,,,,,
v8TdcdK,c-ssup7KH,5.0,0.0,0.0,0.0,,,,,
v8TdcdK,c-tMZksnU,5.0,0.0,0.0,0.0,,,,,
vbesCCb,c-xp3emHd,1.0,1.0,0.0,0.0,trip abroad travel perfect trips super love europe viaje traveling,,trip battery perfect travel love life design trips device 🥰,,
v1hWN0s,c-zWnAF0-,1.0,0.0,1.0,0.0,device buy great recorder cool love compact nice design battery,,,price buy work app features part kosztuje gdzie nt cost,
vB3iY9I,c072BX1HK,5.0,0.0,0.0,0.0,,,,,
v8TdcdK,c07BeitSJ,5.0,0.0,0.0,0.0,,,,,
vbesCCb,c093hjdoO,5.0,0.0,0.0,0.0,,,,,
vQjtjf2,c09ECTxDh,5.0,0.0,0.0,0.0,,,,,
vB3iY9I,c09jbfnI4,5.0,0.0,0.0,0.0,,,,,
vKlzOiZ,c0A8ZqooI,5.0,0.0,0.0,0.0,,,,,
