comment_text,multi_labels
Why so so so beautiful face with open mouth face with open mouth face with open mouth don't face with open mouth wordssss no wordssss why????? Cuteness overload,"(5.0, 0.0, 0.0, 0.0)"
Google Translator........,"(2.0, 0.0, 0.0, 0.0)"
"Me gusta que sea compacto, pero sería mejor si incluyera un estuche protector.","(3.0, 0.0, 0.0, 1.0)"
The cat,"(5.0, 0.0, 0.0, 0.0)"
"Lo usé en una reunión de negocios y fue muy útil, aunque sería mejor si tuviera más precisión en términos específicos.","(3.0, 1.0, 0.0, 1.0)"
lol,"(5.0, 0.0, 0.0, 0.0)"
face with tears of joy face with tears of joy face with tears of joy,"(5.0, 0.0, 0.0, 0.0)"
Does it work offline or do I need WiFi all the time?,"(4.0, 0.0, 1.0, 0.0)"
This translator could be a lifesaver for foreigners applying for jobs in Germany. Does it include a dictionary feature for learning new words?,"(1.0, 1.0, 1.0, 0.0)"
Nice,"(5.0, 0.0, 0.0, 0.0)"
@Namefull @Nameless me yoven and you thinking me yoven lying face with tears of joy,"(5.0, 0.0, 0.0, 0.0)"
Dude one word: Keeper,"(5.0, 0.0, 0.0, 0.0)"
I hope you didn't use the same funnel to fill the water tank after filling up with gas.,"(5.0, 0.0, 0.0, 0.0)"
She still didn't charge the translator Looool face with tears of joy,"(4.0, 0.0, 0.0, 0.0)"
What languages?,"(4.0, 0.0, 1.0, 0.0)"
Love apnavi entry and when she says Carrie is there,"(5.0, 0.0, 0.0, 0.0)"
Beo carrie thats biy talk yall girls get so mad of being listned in your conversations but if we boys have conversations y'all are mad,"(5.0, 0.0, 0.0, 0.0)"
Love all of your content! Would like to see more of this cold exposure videos. Is it not about time Kombi life enters Sweden and especially the north of Sweden in Dec-February?,"(5.0, 0.0, 0.0, 0.0)"
early yayyy,"(5.0, 0.0, 0.0, 0.0)"
"Didn't someone else make the same game, even 10x better in 1-2 days?","(5.0, 0.0, 0.0, 0.0)"
The voice recognition sometimes fails in noisy environments. confused face,"(2.0, 0.0, 0.0, 0.0)"
Great Lesson! Teacher Laura!!! books,"(5.0, 0.0, 0.0, 0.0)"
Nick:shocked Carrie:rocked,"(5.0, 0.0, 0.0, 0.0)"
"how come he says he doesnt know how crypto related things work specifically on the cryptozoo even tho he already did dinkdoink before crypto zoo, would this ALSO imply he didnt know jack shit when he did dinkdoink? can that also be used against him?","(5.0, 0.0, 0.0, 0.0)"
Danke,"(5.0, 0.0, 0.0, 0.0)"
I love the idea of using the Xfaiyx Smart Translator during road trips! It could make meeting locals and exploring new cultures so much easier.,"(1.0, 1.0, 0.0, 0.0)"
First to view party popper,"(5.0, 0.0, 0.0, 0.0)"
항상 응원합니다 ! Merry Christmas ~~~,"(5.0, 0.0, 0.0, 0.0)"
Voice-to-text feature? That's a game-changer!,"(1.0, 0.0, 0.0, 0.0)"
Promotion karne ka tarika thida casual hai face with tears of joy face with tears of joy face with tears of joy,"(5.0, 0.0, 0.0, 0.0)"
"Coffee will probably lose, if there's anything I've learnt it's that whoever is doing the legal work for Logan they are actually legitimately good. Logan never owned Crypto Zoo it was a partnership, just like he doesn't own Prime, he's a partner. Logan did the same thing he did for Crypto Zoo that he did with Prime, promoted it, and as a partner he would get a bit of the reward. Logan did specifically say who owned it, and that he also got rugged on the project, but the mob being the mob focuses on the person they recognise which was Logan. Coffee though, given he was ""investigating"" should have known better than to state that Logan scammed people, when he knew exactly who scammed people, but their names wouldn't bring views.","(5.0, 0.0, 0.0, 0.0)"
Sehr cool smiling face with sunglasses thumbs up,"(5.0, 0.0, 0.0, 0.0)"
The s24 ultra does this already for free loudly crying face,"(2.0, 0.0, 0.0, 0.0)"
Does it come with a warranty? Just in case something goes wrong.,"(4.0, 0.0, 1.0, 0.0)"
Does it support translating slang or informal phrases? That would be awesome!,"(1.0, 0.0, 1.0, 0.0)"
Tengkyu... My English is not fluent fluent banget,"(5.0, 0.0, 0.0, 0.0)"
"The translator is okay, but it needs better support for idiomatic expressions. Hope they update the software soon.","(3.0, 0.0, 0.0, 1.0)"
"The design is sleek, but I feel like the translation speed could be faster.","(3.0, 0.0, 0.0, 1.0)"
"I used the Xfaiyx Smart Translator while attending a job fair in Berlin, and it worked flawlessly! Highly recommend it for anyone looking for jobs in Germany.","(1.0, 1.0, 0.0, 0.0)"
Bengail i saw it my language,"(4.0, 0.0, 0.0, 0.0)"
"For example situation in German IT is grimm, there is no any demand now. Working here for 10 years and in my current place and all places I worked before there layoffs instead of hiring. And the situation doesn't look like it will change soon. I don't see any reason why it would change. International companies prefer hiring in cheaper countries. German companies also, for example, they moved 90 percent development for Deutsche Telekom to Spain. There everything is cheaper, nothing personal just business.","(5.0, 0.0, 0.0, 0.0)"
Does it have noise cancellation features?,"(4.0, 0.0, 1.0, 0.0)"
It’s cool but I wish it had a longer battery life for day trips.,"(3.0, 1.0, 0.0, 1.0)"
"""Abhi batati hun respect"" loudly crying face loudly crying face","(5.0, 0.0, 0.0, 0.0)"
"Der Preis des Geräts ist ziemlich hoch im Vergleich zu anderen Übersetzern auf dem Markt. Gibt es eine Möglichkeit, Rabatt zu bekommen?","(2.0, 0.0, 1.0, 0.0)"
"Leadership are responsible for their employee/followers actions. Even if he was sideswiped by the people he hired... HE heired them. He managed them. He gave them the ability to do what they did. Second part, do I think he's not in some way aware of his scams are scams.... not in the slightest. I believe he specifically hired criminals to do shady things, got scammed and decided to play victim.","(5.0, 0.0, 0.0, 0.0)"
What languages?,"(4.0, 0.0, 1.0, 0.0)"
when you already know hindi >>>>>>>>>>heheh(deaddd),"(5.0, 0.0, 0.0, 0.0)"
"I’ve been using the Xfaiyx Smart Translator for budget travel, and it’s been great for basic communication. Does it support voice commands?","(1.0, 1.0, 1.0, 0.0)"
"If you're looking to up your note-taking game, transcribethis io has been the future for me. It's simple and super effective for school projects.","(4.0, 1.0, 0.0, 0.0)"
Hahahha face with tears of joy face with tears of joy face with tears of joy,"(5.0, 0.0, 0.0, 0.0)"
huh,"(5.0, 0.0, 0.0, 0.0)"
369€ auf Amazon flushed face,"(4.0, 0.0, 0.0, 0.0)"
Ur such a green flag Carrie,"(5.0, 0.0, 0.0, 0.0)"
Carrie brings his technique the languange face with tears of joy face with tears of joy,"(5.0, 0.0, 0.0, 0.0)"
Carrie is like u shall now pain face with tears of joy,"(5.0, 0.0, 0.0, 0.0)"
what an evil mastermind face with tears of joy,"(5.0, 0.0, 0.0, 0.0)"
Hey we can understand Hindi face with tears of joy face with tears of joy face with tears of joy,"(5.0, 0.0, 0.0, 0.0)"
flushed face,"(5.0, 0.0, 0.0, 0.0)"
Kann mein Handy auch alles perfekt und auch im offlinemodus so ein quatsch,"(2.0, 0.0, 0.0, 0.0)"
"Know it's going to fail or not, Paul's lawyers are going to take a healthy bite out of his finances. Besides ... Logan Paul from the outset said he was stoked about the project and had personal involvement in making it happen. It looks like a scam. So ... Logan claims he had nothing to do with it, he was a victim of them too etc. etc.","(5.0, 0.0, 0.0, 0.0)"
"Thanks for covering this, this is so wrong","(5.0, 0.0, 0.0, 0.0)"
I hope you break up,"(5.0, 0.0, 0.0, 0.0)"
"Nah.........that statement is, as someone else, I think, I might, have read somewhere, maybe, is lies. He is, as someone else, somewhere else, I think I might have.............scam","(5.0, 0.0, 0.0, 0.0)"
"I’ve been using it for lectures, and it’s so much better than relying on my phone’s mic.","(1.0, 1.0, 0.0, 0.0)"
Why does the device require an internet connection for most features? Isn't there an offline option?,"(2.0, 0.0, 1.0, 1.0)"
"I used the Xfaiyx Smart Translator during my van life journey across South America. It worked well, but I wish it had better noise cancellation.","(3.0, 1.0, 0.0, 1.0)"
I see MONGOLIAN OMG,"(5.0, 0.0, 0.0, 0.0)"
face with tears of joy face with tears of joy face with tears of joy,"(5.0, 0.0, 0.0, 0.0)"
"The idea of a smart translator is great, but I wish the Xfaiyx had better battery life for longer work days.","(3.0, 0.0, 0.0, 1.0)"
What happens if the device runs out of storage? Does it stop recording?,"(4.0, 0.0, 1.0, 0.0)"
Break up with him he doesn’t deserve you carrie,"(5.0, 0.0, 0.0, 0.0)"
Bro is like the comic accurate wolverine in deadpool,"(5.0, 0.0, 0.0, 0.0)"
Ligan Pauls success is one of the saddest realities of YouTube and social media...,"(5.0, 0.0, 0.0, 0.0)"
2 simple to questions to determine if it was a scam - 1. did the people ever get what they paid for & 2. if not everyone get a refund. no denying - it was clearly a scam which makes the person running it a scammer,"(5.0, 0.0, 0.0, 0.0)"
@tahirmobile07 subscribed red heart,"(5.0, 0.0, 0.0, 0.0)"
grinning face with smiling eyes grinning face with smiling eyes grinning face with smiling eyes,"(5.0, 0.0, 0.0, 0.0)"
"The design is sleek, but the screen is too small for older users. Maybe consider a larger display in the next version?","(3.0, 0.0, 0.0, 1.0)"
This great for my spy missions where I need to hide it in my anus so the guards don’t find it if I’m captured,"(1.0, 1.0, 0.0, 0.0)"
"The Xfaiyx Smart Translator is okay, but I think it needs a better microphone for clearer input during noisy environments.","(3.0, 0.0, 0.0, 1.0)"
리라화가 폭락해도 인플레이션이 그걸 상쇠하고도 남으니 달러를 들고 가서 환전해도 여행하기에 한국인으로서도 부담스러울 거 같은데 그런가요? 캐럿맨씨~,"(5.0, 0.0, 0.0, 0.0)"
thumbs up thumbs up thumbs up,"(5.0, 0.0, 0.0, 0.0)"
when you open the comment section you can't see Nayeem anymore beaming face with smiling eyes beaming face with smiling eyes,"(5.0, 0.0, 0.0, 0.0)"
"face with open mouth , face screaming in fear face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy","(5.0, 0.0, 0.0, 0.0)"
